"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"251_Block's Hollow_3",0,0,40.26599,-77.78053,"251_Block's Hollow",3
"251_Block's Hollow_4",0,0,40.26232,-77.78382,"251_Block's Hollow",4
"251_Block's Hollow_5",0,0,40.25873,-77.78692,"251_Block's Hollow",5
"251_Block's Hollow_6",0,0,40.25506,-77.7902,"251_Block's Hollow",6
"251_Block's Hollow_7",0,0,40.25163,-77.79366,"251_Block's Hollow",7
"251_Block's Hollow_8",0,0,40.24809,-77.797,"251_Block's Hollow",8
"251_Block's Hollow_9",0,0,40.24437,-77.80024,"251_Block's Hollow",9
"251_Block's Hollow_10",0,0,40.2406,-77.80297,"251_Block's Hollow",10
"251.5_Block's Hollow Rerouted_1",0,0,40.24934,-77.795794,"251.5_Block's Hollow Rerouted",1
"251.5_Block's Hollow Rerouted_2",3,1,40.246594,-77.798438,"251.5_Block's Hollow Rerouted",2
"251.5_Block's Hollow Rerouted_3",0,0,40.243871,-77.800613,"251.5_Block's Hollow Rerouted",3
"251.5_Block's Hollow Rerouted_4",0,0,40.240441,-77.803134,"251.5_Block's Hollow Rerouted",4
"251.5_Block's Hollow Rerouted_5",0,0,40.22949,-77.812964,"251.5_Block's Hollow Rerouted",5
"251.5_Block's Hollow Rerouted_6",3,1,40.223372,-77.816661,"251.5_Block's Hollow Rerouted",6
"251.5_Block's Hollow Rerouted_7",2,1,40.219176,-77.819951,"251.5_Block's Hollow Rerouted",7
"251.5_Block's Hollow Rerouted_8",2,1,40.214564,-77.823738,"251.5_Block's Hollow Rerouted",8
"PSU SVEF_Masseyburg_1",6,1,40.66043,-77.92635,"PSU SVEF_Masseyburg",1
"PSU SVEF_Masseyburg_2",6,1,40.66198,-77.92439,"PSU SVEF_Masseyburg",2
"PSU SVEF_Masseyburg_3",7,1,40.66349,-77.925,"PSU SVEF_Masseyburg",3
"PSU SVEF_Masseyburg_4",5,1,40.6648,-77.92428,"PSU SVEF_Masseyburg",4
"PSU SVEF_Muthersbaugh_1",9,1,40.65805,-77.89392,"PSU SVEF_Muthersbaugh",1
"PSU SVEF_Muthersbaugh_2",5,1,40.65998,-77.89196,"PSU SVEF_Muthersbaugh",2
"PSU SVEF_Muthersbaugh_3",6,1,40.65877,-77.89099,"PSU SVEF_Muthersbaugh",3
"PSU SVEF_Muthersbaugh_4",8,1,40.65259,-77.89615,"PSU SVEF_Muthersbaugh",4
